# Forces       
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         forces(pressure viscous porous)	moments(pressure viscous porous)
1.58763        	((8.78125812e-01 5.34521691e-06 -4.07431599e-19) (2.93360899e-01 -4.16066243e-06 1.48622982e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.47731222e-21 1.38488797e-19 5.20358626e-12) (-2.19364433e-18 1.21868505e-20 -4.95155507e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.64147        	((8.92995306e-01 5.67746405e-06 -4.06301448e-19) (2.89514327e-01 -1.71939347e-06 1.70961450e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.77604427e-21 1.41002540e-19 4.95496114e-12) (-2.17136216e-18 1.02029302e-20 -2.46556520e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.69531        	((9.07794666e-01 6.42837157e-06 -4.05147580e-19) (2.85899260e-01 -1.72109446e-06 1.66715676e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.04021060e-21 1.43540485e-19 6.14646664e-12) (-2.20563734e-18 1.03350564e-20 -2.27002838e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.74914        	((9.22985281e-01 6.17224779e-06 -4.04101271e-19) (2.82505335e-01 -1.70699418e-06 1.62637151e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.28008995e-21 1.46155570e-19 6.60403741e-12) (-2.43505392e-18 1.04724713e-20 -2.10525743e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.80314        	((9.37961187e-01 7.13189535e-06 -4.03137494e-19) (2.79323137e-01 -2.97440360e-06 1.47655087e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.50331039e-21 1.48731056e-19 5.53131846e-12) (-2.69652349e-18 1.14730512e-20 -3.13353023e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.85714        	((9.51431376e-01 3.98094551e-06 -4.01840614e-19) (2.76346954e-01 -1.44664280e-06 1.59496970e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.69420269e-21 1.51067554e-19 7.12865422e-12) (-2.82299375e-18 1.03521263e-20 -1.84327130e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.91129        	((9.65432731e-01 1.23146162e-05 -4.00745253e-19) (2.73557487e-01 -1.61694032e-06 1.57255152e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.89514307e-21 1.53499264e-19 1.48568104e-12) (-2.94693961e-18 1.03427721e-20 -1.85825139e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.96545        	((9.79209904e-01 2.58018755e-06 -3.99679636e-19) (2.70954041e-01 -1.65232357e-06 1.55062770e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.08772130e-21 1.55896436e-19 7.33004326e-12) (-3.04424730e-18 1.03288027e-20 -1.86905911e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.01977        	((9.93011496e-01 5.39419324e-06 -3.98690012e-19) (2.68538599e-01 -1.61208297e-06 1.52929587e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.27402746e-21 1.58316146e-19 6.35376398e-12) (-3.14765227e-18 1.03009245e-20 -1.80848615e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.07409        	((1.00603699e+00 6.61700392e-06 -3.97617181e-19) (2.66296060e-01 -1.55036632e-06 1.49905123e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.45120662e-21 1.60603690e-19 6.06672134e-12) (-3.24881588e-18 1.03399086e-20 -1.77295680e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
