# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
179            	-3.08827975e-09	1.62398270e+00	-1.21909797e-08	-9.18376957e-09	-3.00721008e-09
180            	-3.24083217e-09	1.62388979e+00	-7.93204447e-09	-7.20685441e-09	-7.25190060e-10
181            	-3.37783017e-09	1.62379938e+00	-4.85330628e-09	-5.80448331e-09	9.51177027e-10
182            	-3.50689659e-09	1.62371143e+00	-4.39703285e-09	-5.70541301e-09	1.30838016e-09
183            	-3.63270433e-09	1.62362585e+00	-4.78385850e-09	-6.02463358e-09	1.24077508e-09
184            	-3.73442018e-09	1.62354261e+00	2.06012627e-08	6.56621118e-09	1.40350515e-08
185            	-3.80537853e-09	1.62346159e+00	1.53607679e-08	3.87500543e-09	1.14857625e-08
186            	-3.94313239e-09	1.62338272e+00	-2.53687564e-10	-4.06997618e-09	3.81628861e-09
187            	-4.10180580e-09	1.62330600e+00	-7.52073666e-09	-7.86217414e-09	3.41437471e-10
188            	-4.23972954e-09	1.62323135e+00	-1.74484765e-08	-1.29639678e-08	-4.48450872e-09
189            	-4.34193049e-09	1.62315877e+00	-3.97741161e-09	-6.33063629e-09	2.35322468e-09
190            	-4.39658414e-09	1.62308816e+00	1.32258303e-08	2.21633099e-09	1.10094993e-08
191            	-4.43359558e-09	1.62301942e+00	1.71980060e-08	4.16540742e-09	1.30325986e-08
192            	-4.47980792e-09	1.62295250e+00	8.58735456e-09	-1.86130642e-10	8.77348520e-09
193            	-4.53777671e-09	1.62288740e+00	-4.58378597e-10	-4.76696601e-09	4.30858741e-09
194            	-4.59160384e-09	1.62282408e+00	-1.27690804e-09	-5.23005786e-09	3.95314982e-09
195            	-4.62676816e-09	1.62276248e+00	4.40877734e-09	-2.42237949e-09	6.83115682e-09
196            	-4.64271974e-09	1.62270253e+00	9.41619356e-09	6.53770377e-11	9.35081653e-09
