# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
3.54258        	4.47484917e-08	4.63096058e-01	-1.01362869e-05	-5.02339494e-06	-5.11289192e-06
3.57923        	4.71400517e-08	4.72750417e-01	-6.87117228e-06	-3.38844609e-06	-3.48272619e-06
3.61588        	3.14237351e-08	4.80363956e-01	-2.26942824e-06	-1.10329038e-06	-1.16613785e-06
3.65262        	3.56303205e-08	4.79810228e-01	3.34620937e-07	2.02940789e-07	1.31680148e-07
3.68936        	3.75396100e-08	4.83148145e-01	-2.01369657e-05	-1.00309432e-05	-1.01060225e-05
3.72609        	2.83367169e-08	4.90487373e-01	1.04273447e-06	5.49703952e-07	4.93030518e-07
3.76291        	2.29858623e-08	4.95898718e-01	1.58992936e-06	8.17950543e-07	7.71978818e-07
3.79973        	1.91589941e-08	5.00521910e-01	-4.96422644e-06	-2.46295423e-06	-2.50127221e-06
3.83655        	1.51972598e-08	5.02997643e-01	-2.60853071e-06	-1.28906809e-06	-1.31946261e-06
3.87337        	1.29666317e-08	5.05889483e-01	-4.79383522e-06	-2.38395098e-06	-2.40988424e-06
3.91027        	1.10746727e-08	5.08811574e-01	-5.75664359e-06	-2.86724712e-06	-2.88939647e-06
3.94717        	6.52299785e-09	5.11664498e-01	-6.83173990e-06	-3.40934695e-06	-3.42239295e-06
3.98408        	1.70903476e-09	5.15509539e-01	-9.01711387e-06	-4.50684790e-06	-4.51026597e-06
4.02106        	-1.72629135e-09	5.13064941e-01	-6.03963070e-06	-3.02154164e-06	-3.01808906e-06
4.05805        	-5.71643109e-09	5.09796800e-01	-1.06056588e-05	-5.30854581e-06	-5.29711294e-06
4.09504        	-6.10194915e-09	5.09365758e-01	-9.75395886e-06	-4.88308138e-06	-4.87087748e-06
4.13203        	-4.59560744e-09	5.08656474e-01	-1.38105176e-05	-6.90985439e-06	-6.90066318e-06
4.1691         	-2.33444854e-09	5.09070965e-01	-1.10516749e-05	-5.52817188e-06	-5.52350299e-06
4.20618        	3.48825573e-09	5.10360728e-01	-1.19887765e-05	-5.99090001e-06	-5.99787652e-06
4.24325        	9.12150951e-09	5.06725894e-01	-1.24128806e-05	-6.19731878e-06	-6.21556180e-06
4.28042        	1.38379648e-08	5.05546478e-01	-9.74941497e-06	-4.86086952e-06	-4.88854545e-06
4.31758        	1.93004699e-08	5.05335439e-01	-1.23294396e-05	-6.14541935e-06	-6.18402029e-06
4.35474        	2.24305457e-08	5.03206910e-01	-1.80767159e-05	-9.01592742e-06	-9.06078852e-06
4.3919         	2.64760077e-08	4.97533986e-01	1.08805940e-05	5.46677301e-06	5.41382100e-06
4.42915        	2.99349489e-08	4.93523384e-01	-2.58080662e-05	-1.28740981e-05	-1.29339680e-05
4.4664         	3.35841385e-08	4.90197967e-01	-1.57749599e-05	-7.85389583e-06	-7.92106410e-06
4.50365        	3.54476259e-08	4.87540549e-01	-1.76974707e-05	-8.81328773e-06	-8.88418298e-06
4.54091        	3.58774096e-08	4.83244304e-01	-1.20702414e-05	-5.99924329e-06	-6.07099811e-06
4.57816        	3.56982508e-08	4.78865377e-01	-2.25409856e-05	-1.12347946e-05	-1.13061911e-05
4.61541        	3.37569391e-08	4.75303296e-01	-1.59537822e-05	-7.94313415e-06	-8.01064803e-06
4.65266        	3.08847843e-08	4.70379457e-01	-2.51282753e-05	-1.25332528e-05	-1.25950224e-05
4.69           	2.89336275e-08	4.67725622e-01	-1.95696467e-05	-9.75588971e-06	-9.81375696e-06
4.72734        	2.70354278e-08	4.63616699e-01	-1.97874792e-05	-9.86670419e-06	-9.92077504e-06
4.76468        	2.48896972e-08	4.61594628e-01	-1.83208204e-05	-9.13552052e-06	-9.18529991e-06
4.80202        	2.35685546e-08	4.56700848e-01	-1.84268213e-05	-9.18984212e-06	-9.23697923e-06
4.83946        	2.12642875e-08	4.53355251e-01	-2.44850468e-05	-1.22212591e-05	-1.22637877e-05
4.87689        	1.84926314e-08	4.50789984e-01	-2.41748378e-05	-1.20689263e-05	-1.21059115e-05
4.91432        	1.51941745e-08	4.47843712e-01	-2.30333654e-05	-1.15014885e-05	-1.15318769e-05
4.95176        	1.18337746e-08	4.44323410e-01	-2.18720721e-05	-1.09242023e-05	-1.09478698e-05
4.98919        	8.78629659e-09	4.41836978e-01	-2.49586469e-05	-1.24705371e-05	-1.24881097e-05
5.02672        	5.97406243e-09	4.39556030e-01	-2.31780201e-05	-1.15830360e-05	-1.15949841e-05
5.06425        	4.28891012e-09	4.38008012e-01	-3.23280346e-05	-1.61597284e-05	-1.61683062e-05
5.10177        	5.56493089e-10	4.37813228e-01	-3.59223368e-05	-1.79606119e-05	-1.79617249e-05
5.1393         	-5.76428599e-09	4.36491921e-01	-3.28002649e-05	-1.64058967e-05	-1.63943682e-05
5.17683        	-1.69682315e-08	4.36787894e-01	-3.99346046e-05	-1.99842705e-05	-1.99503341e-05
5.21435        	-2.98323915e-08	4.36834269e-01	-3.81922367e-05	-1.91259507e-05	-1.90662859e-05
5.25198        	-4.04061629e-08	4.37022164e-01	-4.12938379e-05	-2.06873251e-05	-2.06065128e-05
5.2896         	-5.05473873e-08	4.36827182e-01	-4.27474808e-05	-2.14242878e-05	-2.13231930e-05
