# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
8.2679         	-7.85745728e-07	1.15492605e+00	2.78263403e-05	1.31274244e-05	1.46989159e-05
8.32869        	-7.75925232e-07	1.15307021e+00	3.53718950e-05	1.69100223e-05	1.84618728e-05
8.38948        	-7.66992025e-07	1.15123280e+00	3.75192468e-05	1.79926314e-05	1.95266154e-05
8.45027        	-7.60845599e-07	1.14941485e+00	3.56192592e-05	1.70487840e-05	1.85704752e-05
8.51106        	-7.59320163e-07	1.14753902e+00	3.30341696e-05	1.57577646e-05	1.72764050e-05
8.57184        	-7.64633270e-07	1.14594867e+00	2.77566611e-05	1.31136973e-05	1.46429638e-05
8.63263        	-7.74754770e-07	1.14429094e+00	2.44830028e-05	1.14667466e-05	1.30162562e-05
8.69375        	-7.87777355e-07	1.14264658e+00	2.46557995e-05	1.15401224e-05	1.31156771e-05
8.75486        	-8.02681860e-07	1.14091768e+00	2.47729116e-05	1.15837739e-05	1.31891377e-05
8.81598        	-8.20331851e-07	1.13922073e+00	2.57252119e-05	1.20422741e-05	1.36829378e-05
8.87709        	-8.37624026e-07	1.13768432e+00	2.45690002e-05	1.14468761e-05	1.31221241e-05
8.93821        	-8.54054834e-07	1.13618418e+00	2.61005840e-05	1.21962372e-05	1.39043468e-05
8.99932        	-8.69035303e-07	1.13473181e+00	2.62222692e-05	1.22420993e-05	1.39801699e-05
9.06044        	-8.82478355e-07	1.13326137e+00	2.54661364e-05	1.18505898e-05	1.36155465e-05
9.12155        	-8.98910350e-07	1.13180151e+00	2.47638959e-05	1.14830376e-05	1.32808583e-05
